Subject,Number,Primary Instructor,Average_GPA,Instructor_Avg_GPA,College_ACES,College_Business,College_Education,College_Engineering,College_FAA,College_LAS,College_Languages,College_Media,College_Other
AAS,100,GENG,3.75,3.75,False,False,False,False,False,False,False,False,True
AAS,200,SAWADA,3.88,3.89,False,False,False,False,False,False,False,False,True
AAS,211,SAWADA,3.96,3.89,False,False,False,False,False,False,False,False,True
AAS,215,SIGLOS,3.66,3.57,False,False,False,False,False,False,False,False,True
AAS,287,KANG,3.82,3.82,False,False,False,False,False,False,False,False,True
ABE,152,KALITA,3.89,3.74,True,False,False,False,False,False,False,False,False
ABE,436,WANG,2.61,3.36,True,False,False,False,False,False,False,False,False
ABE,498,WANG,3.94,3.36,True,False,False,False,False,False,False,False,False
ABE,502,RAUSCH,3.81,3.41,True,False,False,False,False,False,False,False,False
ACCY,200,ZHANG,3.78,3.59,False,True,False,False,False,False,False,False,False
ACCY,200,GREEN,3.86,3.69,False,True,False,False,False,False,False,False,False
ACCY,200,ZHANG,3.48,3.59,False,True,False,False,False,False,False,False,False
ACCY,201,FISHER,3.55,3.06,False,True,False,False,False,False,False,False,False
ACCY,201,FISHER,3.42,3.06,False,True,False,False,False,False,False,False,False
ACCY,202,SHAPLAND,3.41,3.28,False,True,False,False,False,False,False,False,False
ACCY,202,SHAPLAND,3.25,3.28,False,True,False,False,False,False,False,False,False
ACCY,202,SHAPLAND,3.52,3.28,False,True,False,False,False,False,False,False,False
ACCY,301,PIEPER,3.5,3.35,False,True,False,False,False,False,False,False,False
ACCY,301,STEWARD,3.26,3.48,False,True,False,False,False,False,False,False,False
ACCY,301,PIEPER,3.48,3.35,False,True,False,False,False,False,False,False,False
ACCY,301,STEWARD,3.33,3.48,False,True,False,False,False,False,False,False,False
ACCY,301,PIEPER,3.04,3.35,False,True,False,False,False,False,False,False,False
ACCY,302,SANI,3.8,3.48,False,True,False,False,False,False,False,False,False
ACCY,302,SANI,3.48,3.48,False,True,False,False,False,False,False,False,False
ACCY,302,CURTIS,3.6,3.44,False,True,False,False,False,False,False,False,False
ACCY,302,CURTIS,3.36,3.44,False,True,False,False,False,False,False,False,False
ACCY,302,SANI,3.54,3.48,False,True,False,False,False,False,False,False,False
ACCY,303,SCHWARTZ,3.23,3.53,False,True,False,False,False,False,False,False,False
ACCY,303,HAMM,3.33,3.57,False,True,False,False,False,False,False,False,False
ACCY,303,SCHWARTZ,3.63,3.53,False,True,False,False,False,False,False,False,False
ACCY,303,PACHERA,3.63,3.33,False,True,False,False,False,False,False,False,False
ACCY,303,PACHERA,2.94,3.33,False,True,False,False,False,False,False,False,False
ACCY,304,DAHLE,3.42,3.35,False,True,False,False,False,False,False,False,False
ACCY,304,HAYNE,3.3,3.32,False,True,False,False,False,False,False,False,False
ACCY,304,HAYNE,3.51,3.32,False,True,False,False,False,False,False,False,False
ACCY,304,DAHLE,3.37,3.35,False,True,False,False,False,False,False,False,False
ACCY,304,DAHLE,3.2,3.35,False,True,False,False,False,False,False,False,False
ACCY,304,HAYNE,3.02,3.32,False,True,False,False,False,False,False,False,False
ACCY,312,HUTCHENS,3.5,3.3,False,True,False,False,False,False,False,False,False
ACCY,312,HUTCHENS,3.36,3.3,False,True,False,False,False,False,False,False,False
ACCY,312,OSSWALD,3.37,3.33,False,True,False,False,False,False,False,False,False
ACCY,312,OSSWALD,3.27,3.33,False,True,False,False,False,False,False,False,False
ACCY,312,OSSWALD,3.35,3.33,False,True,False,False,False,False,False,False,False
ACCY,398,HUTCHENS,3.84,3.58,False,True,False,False,False,False,False,False,False
ACCY,405,ROGOWSKI,3.54,3.64,False,True,False,False,False,False,False,False,False
ACCY,405,CHATTERTON,3.59,3.43,False,True,False,False,False,False,False,False,False
ACCY,405,CICONTE,3.36,3.31,False,True,False,False,False,False,False,False,False
ACCY,405,CHATTERTON,3.24,3.43,False,True,False,False,False,False,False,False,False
ACCY,405,CICONTE,3.4,3.31,False,True,False,False,False,False,False,False,False
ACCY,405,CICONTE,3.18,3.31,False,True,False,False,False,False,False,False,False
ACCY,410,KUSTANOVICH,3.44,3.4,False,True,False,False,False,False,False,False,False
ACCY,410,IBRAHIM,3.52,3.45,False,True,False,False,False,False,False,False,False
ACCY,410,CHEN,3.04,3.26,False,True,False,False,False,False,False,False,False
ACCY,410,CHEN,3.45,3.26,False,True,False,False,False,False,False,False,False
ACCY,449,ALT,3.91,3.51,False,True,False,False,False,False,False,False,False
ACCY,449,ALT,3.89,3.51,False,True,False,False,False,False,False,False,False
ACCY,451,ALT,3.22,3.51,False,True,False,False,False,False,False,False,False
ACCY,451,ALT,3.45,3.51,False,True,False,False,False,False,False,False,False
ACCY,451,HOLDER,3.37,3.37,False,True,False,False,False,False,False,False,False
ACCY,451,HOLDER,3.45,3.37,False,True,False,False,False,False,False,False,False
ACCY,451,HOLDER,3.44,3.44,False,True,False,False,False,False,False,False,False
