Number,Average_GPA,Instructor_Avg_GPA,College_ACES,College_Business,College_Education,College_Engineering,College_FAA,College_LAS,College_Languages,College_Media,College_Other
100,3.75,3.75,False,False,False,False,False,False,False,False,True
200,3.88,3.89,False,False,False,False,False,False,False,False,True
211,3.96,3.89,False,False,False,False,False,False,False,False,True
215,3.66,3.57,False,False,False,False,False,False,False,False,True
287,3.82,3.82,False,False,False,False,False,False,False,False,True
152,3.89,3.74,True,False,False,False,False,False,False,False,False
436,2.61,3.36,True,False,False,False,False,False,False,False,False
498,3.94,3.36,True,False,False,False,False,False,False,False,False
502,3.81,3.41,True,False,False,False,False,False,False,False,False
200,3.78,3.59,False,True,False,False,False,False,False,False,False
200,3.86,3.69,False,True,False,False,False,False,False,False,False
200,3.48,3.59,False,True,False,False,False,False,False,False,False
201,3.55,3.06,False,True,False,False,False,False,False,False,False
201,3.42,3.06,False,True,False,False,False,False,False,False,False
202,3.41,3.28,False,True,False,False,False,False,False,False,False
202,3.25,3.28,False,True,False,False,False,False,False,False,False
202,3.52,3.28,False,True,False,False,False,False,False,False,False
301,3.5,3.35,False,True,False,False,False,False,False,False,False
301,3.26,3.48,False,True,False,False,False,False,False,False,False
301,3.48,3.35,False,True,False,False,False,False,False,False,False
301,3.33,3.48,False,True,False,False,False,False,False,False,False
301,3.04,3.35,False,True,False,False,False,False,False,False,False
302,3.8,3.48,False,True,False,False,False,False,False,False,False
302,3.48,3.48,False,True,False,False,False,False,False,False,False
302,3.6,3.44,False,True,False,False,False,False,False,False,False
302,3.36,3.44,False,True,False,False,False,False,False,False,False
302,3.54,3.48,False,True,False,False,False,False,False,False,False
303,3.23,3.53,False,True,False,False,False,False,False,False,False
303,3.33,3.57,False,True,False,False,False,False,False,False,False
303,3.63,3.53,False,True,False,False,False,False,False,False,False
303,3.63,3.33,False,True,False,False,False,False,False,False,False
303,2.94,3.33,False,True,False,False,False,False,False,False,False
304,3.42,3.35,False,True,False,False,False,False,False,False,False
304,3.3,3.32,False,True,False,False,False,False,False,False,False
304,3.51,3.32,False,True,False,False,False,False,False,False,False
304,3.37,3.35,False,True,False,False,False,False,False,False,False
304,3.2,3.35,False,True,False,False,False,False,False,False,False
304,3.02,3.32,False,True,False,False,False,False,False,False,False
312,3.5,3.3,False,True,False,False,False,False,False,False,False
312,3.36,3.3,False,True,False,False,False,False,False,False,False
312,3.37,3.33,False,True,False,False,False,False,False,False,False
312,3.27,3.33,False,True,False,False,False,False,False,False,False
312,3.35,3.33,False,True,False,False,False,False,False,False,False
398,3.84,3.58,False,True,False,False,False,False,False,False,False
405,3.54,3.64,False,True,False,False,False,False,False,False,False
405,3.59,3.43,False,True,False,False,False,False,False,False,False
405,3.36,3.31,False,True,False,False,False,False,False,False,False
405,3.24,3.43,False,True,False,False,False,False,False,False,False
405,3.4,3.31,False,True,False,False,False,False,False,False,False
405,3.18,3.31,False,True,False,False,False,False,False,False,False
410,3.44,3.4,False,True,False,False,False,False,False,False,False
410,3.52,3.45,False,True,False,False,False,False,False,False,False
410,3.04,3.26,False,True,False,False,False,False,False,False,False
410,3.45,3.26,False,True,False,False,False,False,False,False,False
449,3.91,3.51,False,True,False,False,False,False,False,False,False
449,3.89,3.51,False,True,False,False,False,False,False,False,False
451,3.22,3.51,False,True,False,False,False,False,False,False,False
451,3.45,3.51,False,True,False,False,False,False,False,False,False
451,3.37,3.37,False,True,False,False,False,False,False,False,False
451,3.45,3.37,False,True,False,False,False,False,False,False,False
451,3.44,3.44,False,True,False,False,False,False,False,False,False
501,3.54,3.53,False,True,False,False,False,False,False,False,False
501,3.67,3.53,False,True,False,False,False,False,False,False,False
501,3.32,3.53,False,True,False,False,False,False,False,False,False
501,3.8,3.53,False,True,False,False,False,False,False,False,False
502,3.57,3.45,False,True,False,False,False,False,False,False,False
502,3.79,3.45,False,True,False,False,False,False,False,False,False
503,3.52,3.7,False,True,False,False,False,False,False,False,False
503,3.58,3.53,False,True,False,False,False,False,False,False,False
503,3.63,3.53,False,True,False,False,False,False,False,False,False
503,3.85,3.47,False,True,False,False,False,False,False,False,False
503,3.41,3.53,False,True,False,False,False,False,False,False,False
503,3.5,3.53,False,True,False,False,False,False,False,False,False
503,3.65,3.47,False,True,False,False,False,False,False,False,False
506,3.58,3.45,False,True,False,False,False,False,False,False,False
507,3.46,3.44,False,True,False,False,False,False,False,False,False
507,3.76,3.44,False,True,False,False,False,False,False,False,False
510,3.54,3.36,False,True,False,False,False,False,False,False,False
512,3.83,3.43,False,True,False,False,False,False,False,False,False
515,3.05,3.25,False,True,False,False,False,False,False,False,False
515,3.29,3.25,False,True,False,False,False,False,False,False,False
515,3.49,3.25,False,True,False,False,False,False,False,False,False
517,3.22,3.28,False,True,False,False,False,False,False,False,False
517,3.6,3.28,False,True,False,False,False,False,False,False,False
517,3.78,3.57,False,True,False,False,False,False,False,False,False
551,3.62,3.58,False,True,False,False,False,False,False,False,False
552,3.53,3.38,False,True,False,False,False,False,False,False,False
554,3.65,3.58,False,True,False,False,False,False,False,False,False
570,3.95,3.7,False,True,False,False,False,False,False,False,False
570,3.92,3.83,False,True,False,False,False,False,False,False,False
571,3.88,3.83,False,True,False,False,False,False,False,False,False
574,3.95,3.77,False,True,False,False,False,False,False,False,False
574,3.88,3.77,False,True,False,False,False,False,False,False,False
575,3.92,3.87,False,True,False,False,False,False,False,False,False
575,3.89,3.87,False,True,False,False,False,False,False,False,False
575,3.88,3.53,False,True,False,False,False,False,False,False,False
