Age,Branch,Study_Hours_per_Day,Sleep_Hours,Screen_Time_Hours,Gym_Hours_per_Week,Attendance_Percentage,GPA
23,ECE,4.14,6.84,9.23,2.67,81.24,3.01
20,Civil,5.97,5.52,3.09,15.61,90.55,2.88
24,Electrical,3.19,3.39,5.02,2.52,69.4,1.94
21,CSE,4.77,6.44,9.21,0.0,80.79,2.7
23,Civil,5.42,6.54,4.76,9.93,82.63,3.11
19,ECE,3.01,7.25,5.07,13.89,80.43,2.9
23,ECE,2.77,6.24,1.66,8.0,76.35,2.75
24,CSE,3.77,4.71,3.94,9.44,76.02,2.82
21,Mechanical,3.31,5.51,6.11,17.94,79.34,2.36
20,IT,5.73,8.08,9.86,13.97,87.37,3.08
24,ECE,2.5,5.5,4.61,7.17,73.66,2.72
24,Electrical,4.1,8.4,1.67,4.59,81.66,2.9
19,Electrical,7.82,7.76,2.19,13.13,100.0,3.74
22,ECE,4.62,6.12,4.93,11.64,84.6,3.41
21,Mechanical,4.87,5.63,7.35,9.34,86.45,2.55
18,Mechanical,5.74,7.76,6.27,5.17,94.98,3.36
24,Civil,3.31,6.21,5.92,6.57,79.73,2.36
22,Electrical,2.38,4.65,7.62,6.17,70.2,2.22
18,Civil,4.26,7.17,3.56,5.26,80.83,3.51
21,Electrical,4.4,7.0,5.04,3.63,88.14,3.26
17,IT,1.57,7.87,3.96,8.49,68.43,2.76
22,IT,4.56,6.92,4.46,3.38,80.94,3.58
25,CSE,5.6,5.84,2.99,7.99,84.87,2.79
17,Civil,2.63,8.02,4.31,0.0,74.52,3.22
19,ECE,4.65,8.14,4.94,3.64,78.99,3.42
23,Civil,5.34,6.78,4.26,13.15,93.12,3.01
20,ECE,4.88,6.57,4.68,1.96,79.21,3.21
25,Mechanical,5.02,4.91,5.81,10.32,92.5,2.2
19,Civil,3.63,5.77,7.48,2.42,76.74,3.06
21,Mechanical,2.31,7.41,7.62,11.34,66.16,2.92
19,IT,3.33,5.83,6.52,5.34,77.59,2.6
23,IT,3.12,4.75,2.48,5.11,70.84,2.99
21,CSE,3.88,10.0,4.28,7.3,79.57,3.58
25,Civil,5.64,4.74,4.45,0.0,85.31,2.77
23,Mechanical,2.03,9.21,3.69,12.44,74.89,2.9
18,ECE,4.22,6.13,5.68,14.3,81.77,2.85
20,IT,2.4,6.4,1.81,4.98,66.08,3.28
25,IT,2.89,5.69,8.39,9.94,71.46,2.56
18,ECE,4.84,7.44,7.39,11.36,87.72,3.36
25,Mechanical,2.22,4.77,5.96,6.49,77.51,2.7
21,Mechanical,5.1,4.29,4.88,0.79,85.28,2.62
18,Civil,1.97,8.43,7.46,15.93,64.64,2.94
20,Civil,5.0,5.54,6.38,4.8,90.27,2.95
23,Electrical,1.68,7.4,7.21,3.59,71.88,2.75
24,Electrical,3.07,5.2,4.88,16.18,81.9,2.56
19,CSE,6.84,7.35,8.58,10.42,95.67,3.6
17,IT,6.56,8.52,7.33,8.44,90.21,3.62
20,Civil,3.38,5.87,6.02,1.56,79.49,2.97
18,Mechanical,4.58,4.18,7.51,11.5,84.56,2.52
24,ECE,5.81,8.53,4.16,21.0,86.16,3.04
20,Mechanical,5.02,7.61,2.66,11.93,86.1,2.47
18,IT,3.59,5.93,5.64,9.78,76.97,2.38
22,Electrical,2.88,6.24,4.89,11.04,78.1,2.52
22,Mechanical,5.3,5.17,4.6,5.16,88.97,2.92
20,CSE,5.7,8.2,7.43,5.11,83.22,3.1
22,IT,6.57,5.86,5.33,5.04,87.11,2.79
18,Electrical,1.47,4.8,5.53,3.78,66.9,2.29
18,ECE,2.12,6.76,4.35,5.03,70.77,2.58
20,Electrical,5.74,5.47,6.76,5.0,92.52,2.99
24,CSE,1.67,5.26,6.4,5.63,70.93,2.55
23,IT,5.86,5.98,6.75,5.47,96.58,3.15
25,ECE,3.68,6.6,4.01,8.36,76.05,2.46
24,CSE,3.22,4.84,7.61,7.44,73.47,2.37
21,Electrical,4.31,8.16,8.68,7.94,76.74,3.37
18,CSE,1.98,7.31,6.68,15.52,73.66,2.5
21,IT,5.24,6.06,3.38,7.43,86.29,2.64
24,Civil,6.53,5.42,3.4,19.38,83.4,3.11
25,CSE,5.31,6.39,4.25,8.98,87.54,3.37
25,CSE,3.63,7.58,3.87,4.5,79.48,2.8
17,Electrical,1.69,7.39,4.86,14.56,67.74,2.62
25,Electrical,1.75,7.77,6.26,6.55,70.24,2.95
23,ECE,2.01,5.92,5.58,0.0,63.93,2.85
25,Electrical,3.98,3.0,5.4,6.98,88.11,2.08
24,Mechanical,4.17,8.0,4.52,5.6,82.75,3.56
17,IT,5.3,6.3,4.85,16.0,77.64,2.87
24,IT,1.31,7.3,6.59,1.97,66.5,2.34
24,Civil,5.97,8.5,1.0,5.14,91.87,3.64
19,Civil,5.04,9.42,4.98,14.1,79.64,3.26
17,IT,3.51,5.72,5.58,9.21,80.22,2.76
24,Civil,2.22,6.66,6.57,6.04,79.48,2.84
19,ECE,5.87,8.14,2.98,2.76,86.15,3.27
19,Electrical,3.55,5.49,2.87,8.97,79.89,2.58
17,IT,3.97,5.8,6.17,6.84,80.89,2.46
21,Civil,4.58,5.79,1.19,2.7,87.72,2.73
23,IT,2.63,6.47,7.66,2.99,72.61,2.94
25,Mechanical,3.58,6.24,5.45,2.44,72.55,2.74
23,CSE,5.3,5.79,8.12,1.44,91.01,2.66
25,Electrical,5.15,5.34,2.83,12.23,80.69,3.16
24,IT,5.16,7.47,4.13,11.48,94.84,3.49
18,CSE,2.27,8.11,1.0,12.24,74.14,2.81
17,Civil,3.65,8.28,3.41,7.03,75.23,3.58
23,CSE,3.41,5.92,4.63,5.64,82.57,2.64
23,Electrical,4.64,7.52,1.07,5.74,83.14,2.89
24,IT,4.5,6.78,4.21,12.72,81.41,3.26
21,Mechanical,4.23,5.82,1.03,0.0,77.76,2.62
19,Civil,7.7,7.38,4.49,4.12,89.1,3.66
24,IT,3.56,5.76,7.29,2.03,80.84,3.17
22,Electrical,3.39,6.05,4.93,14.62,68.8,3.03
19,Civil,2.26,4.85,8.32,4.33,67.36,2.47
17,ECE,1.69,5.94,6.57,0.0,70.63,1.78
19,CSE,2.17,6.8,7.7,8.25,68.34,2.6
21,Electrical,2.92,8.38,3.47,4.93,75.4,3.42
19,ECE,5.97,6.08,3.42,3.88,83.76,2.66
17,IT,4.06,5.25,5.69,3.3,78.55,2.81
21,Mechanical,4.29,8.3,1.84,3.08,82.27,3.06
23,Civil,3.86,5.89,5.94,10.97,74.52,2.9
23,CSE,4.55,4.4,4.35,8.25,91.17,2.76
25,Civil,6.1,6.66,7.66,5.89,87.33,2.96
19,IT,1.01,6.11,6.36,0.85,71.94,2.24
23,Civil,5.83,9.26,7.19,6.05,88.3,4.0
17,CSE,0.5,7.07,3.49,8.46,54.66,2.59
20,IT,4.04,6.32,7.1,8.67,74.53,3.12
